date,open,close,high,low,volume,code
2023-08-02,1.085,1.083,1.085,1.081,64445,159501
2023-08-02,1.105,1.118,1.134,1.101,52481,159503
2023-08-02,1.07,1.056,1.075,1.054,109884,159506
2023-08-02,0.959,0.963,0.965,0.955,156956,159507
2023-08-02,1.04,1.033,1.04,1.03,9722,159508
2023-08-02,1.073,1.083,1.1,1.06,273400,159512
2023-08-02,0.997,0.991,0.997,0.991,129286,159513
2023-08-02,0.998,1.006,1.007,0.996,755072,159516
2023-08-02,0.809,0.809,0.813,0.808,376803,159601
2023-08-02,0.808,0.807,0.811,0.801,85554,159602
2023-08-02,0.868,0.87,0.875,0.866,15551,159603
2023-08-02,0.861,0.856,0.866,0.855,5517489,159605
2023-08-02,0.814,0.814,0.818,0.812,6705,159606
2023-08-02,0.861,0.858,0.867,0.856,2025668,159607
2023-08-02,0.684,0.68,0.685,0.678,71191,159608
2023-08-02,0.676,0.673,0.677,0.671,88024,159609
2023-08-02,0.837,0.839,0.839,0.836,139646,159610
2023-08-02,0.938,0.932,0.938,0.93,476700,159611
2023-08-02,1.227,1.225,1.227,1.223,150855,159612
2023-08-02,0.906,0.907,0.914,0.901,16918,159613
2023-08-02,0.886,0.875,0.889,0.874,268086,159615
2023-08-02,0.806,0.804,0.81,0.801,34538,159616
2023-08-02,1.121,1.121,1.123,1.118,4332,159617
2023-08-02,0.931,0.929,0.933,0.925,11242,159618
2023-08-02,1.057,1.06,1.067,1.05,169910,159619
2023-08-02,0.928,0.931,0.931,0.928,631,159620
2023-08-02,0.985,0.989,0.989,0.985,5010,159621
2023-08-02,0.937,0.93,0.939,0.929,19009,159622
2023-08-02,0.896,0.897,0.901,0.896,49902,159623
2023-08-02,1.102,1.095,1.103,1.093,158405,159625
2023-08-02,1.062,1.058,1.062,1.058,4392,159627
2023-08-02,1.019,1.02,1.02,1.015,231382,159628
2023-08-02,0.919,0.92,0.921,0.918,990853,159629
2023-08-02,1.105,1.105,1.105,1.105,90,159630
2023-08-02,0.964,0.965,0.969,0.964,89991,159631
2023-08-02,1.304,1.301,1.305,1.3,603926,159632
2023-08-02,0.933,0.925,0.933,0.923,881560,159633
2023-08-02,1.133,1.136,1.142,1.13,92719,159635
2023-08-02,0.905,0.902,0.912,0.9,184505,159636
2023-08-02,0.748,0.75,0.753,0.746,261823,159637
2023-08-02,0.854,0.851,0.857,0.849,244565,159638
2023-08-02,0.812,0.814,0.816,0.811,26872,159639
2023-08-02,0.814,0.815,0.817,0.814,25112,159640
2023-08-02,0.836,0.827,0.836,0.826,62344,159641
2023-08-02,0.823,0.822,0.824,0.822,39201,159642
2023-08-02,0.802,0.799,0.805,0.797,33309,159643
2023-08-02,0.912,0.907,0.914,0.907,9113,159645
2023-08-02,0.804,0.801,0.805,0.801,1672,159646
2023-08-02,1.097,1.095,1.099,1.093,218973,159647
2023-08-02,1.022,1.022,1.022,1.022,153194,159649
2023-08-02,1.019,1.018,1.019,1.018,16344,159650
2023-08-02,1.017,1.017,1.017,1.017,3846,159651
2023-08-02,0.924,0.919,0.924,0.917,39872,159652
2023-08-02,0.991,0.987,0.991,0.987,4000,159653
2023-08-02,1.189,1.185,1.193,1.185,16549,159655
2023-08-02,0.93,0.931,0.939,0.93,5710,159656
2023-08-02,0.85,0.844,0.85,0.843,4844,159657
2023-08-02,1.139,1.145,1.147,1.133,53746,159658
2023-08-02,1.243,1.24,1.243,1.239,10633,159659
2023-08-02,1.233,1.232,1.234,1.231,43471,159660
2023-08-02,1.027,1.011,1.027,1.011,132436,159662
2023-08-02,0.993,1.002,1.003,0.991,93809,159663
2023-08-02,1.044,1.05,1.052,1.041,128847,159665
2023-08-02,0.984,0.981,0.985,0.981,49221,159666
2023-08-02,0.981,0.991,0.991,0.977,248340,159667
2023-08-02,1.016,1.012,1.016,1.01,22206,159669
