基金代码,基金简称,类型,2023-05-09-单位净值,2023-05-09-累计净值,2023-05-08-单位净值,2023-05-08-累计净值,增长值,增长率,市价,折价率
159601,华夏MSCI中国A50互联互通ETF行情,指数型-股票,0.8001,0.8001,0.8049,0.8049,-0.0048,-0.60%,0.7990,0.14%
159602,南方MSCI中国A50互联互通ETF行情,指数型-股票,0.7997,0.7997,0.8044,0.8044,-0.0047,-0.58%,0.7980,0.21%
159603,天弘中证科创创业50ETF行情,指数型-股票,0.8865,0.8865,0.9022,0.9022,-0.0157,-1.74%,0.8880,-0.17%
159605,广发海外中国互联网30(QDII-ETF)行情,QDII,---,---,---,---,---,---,0.7110,---
159606,易方达中证500质量成长ETF行情,指数型-股票,0.8109,0.8109,0.8198,0.8198,-0.0089,-1.09%,0.8100,0.11%
159607,嘉实中证海外中国互联网30ETF(QDII)行情,QDII,---,---,0.7283,0.7283,---,---,0.7090,---
159608,广发中证稀有金属主题ETF行情,指数型-股票,---,---,0.6893,0.6893,---,---,0.6840,---
159609,浦银安盛中证光伏产业ETF行情,指数型-股票,0.7102,0.7102,0.7227,0.7227,-0.0125,-1.73%,0.7120,-0.25%
159610,景顺中证500增强策略ETF行情,指数型-股票,0.8354,0.8354,0.8447,0.8447,-0.0093,-1.10%,0.8370,-0.19%
159611,广发中证全指电力公用事业ETF行情,指数型-股票,---,---,0.9425,0.9425,---,---,0.9340,---
159612,国泰标普500(QDII-ETF)行情,QDII,---,---,1.0713,1.0713,---,---,1.0700,---
159613,嘉实中证信息安全主题ETF行情,指数型-股票,0.9397,0.9397,0.9453,0.9453,-0.0056,-0.59%,0.9440,-0.46%
159615,南方恒生香港上市生物科技ETF(QDII)行情,QDII,0.9262,0.9262,0.9603,0.9603,-0.0341,-3.55%,0.9250,0.13%
159616,建信中证农牧主题ETF行情,指数型-股票,0.8055,0.8055,0.8077,0.8077,-0.0022,-0.27%,0.8050,0.06%
159617,华夏中证智选500价值稳健策略ETF行情,指数型-股票,1.1182,1.1182,1.1233,1.1233,-0.0051,-0.45%,1.1180,0.02%
159618,华安中证光伏产业ETF行情,指数型-股票,0.9786,0.9786,0.9960,0.9960,-0.0174,-1.75%,0.9820,-0.35%
159619,国泰中证基建ETF行情,指数型-股票,1.0894,1.0894,1.1163,1.1163,-0.0269,-2.41%,1.0890,0.04%
159620,华夏中证智选500成长创新策略ETF行情,指数型-股票,0.9442,0.9442,0.9587,0.9587,-0.0145,-1.51%,0.9440,0.02%
159621,国泰MSCI中国A股ESG通用ETF行情,指数型-股票,0.9871,0.9871,0.9946,0.9946,-0.0075,-0.75%,0.9880,-0.09%
159622,西藏东财中证沪港深创新药产业ETF行情,指数型-股票,---,---,0.9995,0.9995,---,---,0.9730,---
159623,博时成渝经济圈ETF行情,指数型-股票,0.8909,0.8909,0.8946,0.8946,-0.0037,-0.41%,0.8930,-0.24%
159625,嘉实国证绿色电力ETF行情,指数型-股票,1.0940,1.0940,1.1043,1.1043,-0.0103,-0.93%,1.0960,-0.18%
159627,华夏中证100ETF行情,指数型-股票,1.0474,1.0474,1.0579,1.0579,-0.0105,-0.99%,1.0460,0.13%
159628,万家国证2000ETF行情,指数型-股票,0.9935,0.9935,1.0127,1.0127,-0.0192,-1.90%,0.9950,-0.15%
159629,富国中证1000ETF行情,指数型-股票,1.9826,0.9281,2.0097,0.9408,-0.0271,-1.35%,1.9830,-0.02%
159630,汇添富中证100ETF行情,指数型-股票,1.0865,1.0865,1.0973,1.0973,-0.0108,-0.98%,1.0850,0.14%
159631,招商中证100ETF行情,指数型-股票,0.9491,0.9491,0.9585,0.9585,-0.0094,-0.98%,0.9490,0.01%
159632,华安纳斯达克100ETF(QDII)行情,QDII,---,---,1.0635,1.0635,---,---,1.0600,---
159633,易方达中证1000ETF行情,指数型-股票,1.9801,0.9339,2.0071,0.9466,-0.0270,-1.35%,1.9800,0.01%
159635,华夏中证基建ETF行情,指数型-股票,1.1692,1.1692,1.1981,1.1981,-0.0289,-2.41%,1.1680,0.10%
159636,工银瑞信国证港股通科技30ETF行情,指数型-股票,0.8215,0.8215,0.8493,0.8493,-0.0278,-3.27%,0.8200,0.18%
159637,新能源车龙头ETF行情,指数型-股票,---,---,0.7452,0.7452,---,---,0.7320,---
159638,嘉实中证高端装备细分50ETF行情,指数型-股票,0.8670,0.8670,0.8804,0.8804,-0.0134,-1.52%,0.8680,-0.12%
159639,南方中证上海环交所碳中和ETF行情,指数型-股票,0.8069,0.8069,0.8186,0.8186,-0.0117,-1.43%,0.8070,-0.01%
159640,工银瑞信中证上海环交所碳中和ETF行情,指数型-股票,0.8092,0.8092,0.8205,0.8205,-0.0113,-1.38%,0.8100,-0.10%
159641,招商中证上海环交所碳中和ETF行情,指数型-股票,0.8165,0.8165,0.8280,0.8280,-0.0115,-1.39%,0.8160,0.06%
159642,大成中证上海环交所碳中和ETF行情,指数型-股票,---,---,0.8262,0.8262,---,---,0.8140,---
159643,国泰国证疫苗与生物科技ETF行情,指数型-股票,0.8461,0.8461,0.8603,0.8603,-0.0142,-1.65%,0.8460,0.01%
159645,富国国证疫苗与生物科技ETF行情,指数型-股票,0.9636,0.9636,0.9799,0.9799,-0.0163,-1.66%,0.9640,-0.04%
159646,华泰柏瑞国证疫苗与生物科技ETF行情,指数型-股票,0.8496,0.8496,0.8636,0.8636,-0.0140,-1.62%,0.8510,-0.16%
159647,鹏华中证中药ETF行情,指数型-股票,1.2219,1.2219,1.2470,1.2470,-0.0251,-2.01%,1.2200,0.16%
159649,华安中债1-5年国开债ETF行情,债券型-长债,101.2233,1.0122,101.1825,1.0118,0.0408,0.04%,101.2250,0.00%
159650,博时中债0-3年国开行ETF行情,债券型-中短债,101.0787,1.0108,101.0580,1.0106,0.0207,0.02%,101.0680,0.01%
159651,平安中债-0-3年国开行债券ETF行情,债券型-中短债,100.9843,1.0098,100.9662,1.0097,0.0181,0.02%,100.9840,0.00%
159652,汇添富中证细分有色金属产业主题ETF行情,指数型-股票,0.9153,0.9153,0.9315,0.9315,-0.0162,-1.74%,0.9140,0.14%
159653,国联安国证ESG300ETF行情,指数型-股票,---,---,0.9922,0.9922,---,---,0.9820,---
159655,华夏标普500ETF(QDII)行情,QDII,---,---,1.0366,1.0366,---,---,1.0350,---
159656,万家沪深300成长ETF行情,指数型-股票,0.9263,0.9263,0.9329,0.9329,-0.0066,-0.71%,0.9260,0.03%
159657,鹏华国证疫苗与生物科技ETF行情,指数型-股票,0.8907,0.8907,0.9053,0.9053,-0.0146,-1.61%,0.8920,-0.15%
159658,华安中证数字经济主题ETF行情,指数型-股票,1.1473,1.1473,1.1529,1.1529,-0.0056,-0.49%,1.1500,-0.24%
159659,招商纳斯达克100ETF(QDII)行情,QDII,---,---,1.0189,1.0189,---,---,1.0140,---
159660,汇添富纳斯达克100ETF行情,QDII,---,---,1.0224,1.0224,---,---,1.0190,---
159662,南方国证交通运输行业ETF行情,指数型-股票,1.0356,1.0356,1.0430,1.0430,-0.0074,-0.71%,1.0370,-0.14%
159663,华夏中证机床ETF行情,指数型-股票,0.9174,0.9174,0.9362,0.9362,-0.0188,-2.01%,0.9190,-0.17%
159665,工银瑞信国证半导体芯片ETF行情,指数型-股票,1.0582,1.0582,1.0778,1.0778,-0.0196,-1.82%,1.0640,-0.55%
159666,华夏中证全指运输ETF行情,指数型-股票,1.0042,1.0042,1.0106,1.0106,-0.0064,-0.63%,1.0030,0.12%
159667,国泰中证机床ETF行情,指数型-股票,0.9043,0.9043,0.9229,0.9229,-0.0186,-2.02%,0.9020,0.25%
159669,国泰国证绿色电力ETF行情,指数型-股票,1.0156,1.0156,1.0250,1.0250,-0.0094,-0.92%,1.0160,-0.04%
159670,国联安中证消费50ETF行情,指数型-股票,---,---,0.9962,0.9962,---,---,0.9890,---
159671,工银瑞信中证稀有金属主题ETF行情,指数型-股票,0.8552,0.8552,0.8635,0.8635,-0.0083,-0.96%,0.8560,-0.09%
159672,博时主要消费ETF行情,指数型-股票,0.9425,0.9425,0.9424,0.9424,0.0001,0.01%,0.9410,0.16%
159675,嘉实创业板增强策略ETF行情,指数型-股票,0.8951,0.8951,0.9050,0.9050,-0.0099,-1.09%,0.8970,-0.21%
159676,富国创业板增强策略ETF行情,指数型-股票,0.9280,0.9280,0.9391,0.9391,-0.0111,-1.18%,0.9270,0.11%
159677,银华中证1000增强策略ETF行情,指数型-股票,1.0363,1.0363,1.0484,1.0484,-0.0121,-1.15%,1.0380,-0.16%
159678,博时中证500增强策略ETF行情,指数型-股票,0.9675,0.9675,0.9807,0.9807,-0.0132,-1.35%,0.9670,0.05%
159679,国泰中证1000增强策略ETF行情,指数型-股票,0.9285,0.9285,0.9436,0.9436,-0.0151,-1.60%,0.9340,-0.59%
159680,招商中证1000增强策略ETF行情,指数型-股票,1.0235,1.0235,1.0373,1.0373,-0.0138,-1.33%,1.0230,0.05%
159681,鹏华创业板50ETF行情,指数型-股票,0.9256,0.9256,0.9367,0.9367,-0.0111,-1.19%,0.9260,-0.04%
159682,景顺长城创业板50ETF行情,指数型-股票,0.9191,0.9191,0.9304,0.9304,-0.0113,-1.21%,0.9200,-0.10%
159683,嘉实中证内地运输主题ETF行情,指数型-股票,1.0105,1.0105,1.0160,1.0160,-0.0055,-0.54%,1.0110,-0.05%
159685,天弘中证1000增强ETF行情,指数型-股票,0.9909,0.9909,1.0028,1.0028,-0.0119,-1.19%,0.9880,0.29%
159687,南方基金南方东英银河联昌富时亚太低碳精选ETF(QDII)行情,QDII,---,---,1.0003,1.0003,---,---,1.0050,---
159688,华安恒生互联网科技业ETF(QDII)行情,QDII,0.8143,0.8143,0.8389,0.8389,-0.0246,-2.93%,0.8180,-0.45%
159689,南方中证主要消费ETF行情,指数型-股票,0.9446,0.9446,0.9448,0.9448,-0.0002,-0.02%,0.9450,-0.04%
159691,工银瑞信中证港股通高股息精选ETF行情,指数型-股票,1.0111,1.0111,1.0182,1.0182,-0.0071,-0.70%,1.0040,0.70%
159692,东财中证证券公司30ETF行情,指数型-股票,---,---,---,---,---,---,---,---
159695,嘉实国证通信ETF行情,指数型-股票,0.9763,0.9763,---,---,---,---,---,---
159697,鹏华国证石油天然气ETF行情,指数型-股票,1.0127,1.0127,1.0374,1.0374,-0.0247,-2.38%,1.0090,0.37%
159701,招商中证物联网主题ETF行情,指数型-股票,0.7181,0.7181,0.7197,0.7197,-0.0016,-0.22%,0.7180,0.01%
159703,天弘中证新材料主题ETF行情,指数型-股票,0.7993,0.7993,0.8117,0.8117,-0.0124,-1.53%,0.7990,0.04%
159706,华安深证100ETF行情,指数型-股票,0.7301,0.7301,0.7350,0.7350,-0.0049,-0.67%,0.7290,0.15%
159707,华宝中证800地产ETF行情,指数型-股票,0.8851,0.8851,0.8806,0.8806,0.0045,0.51%,0.8850,0.01%
159708,西部利得深证红利ETF行情,指数型-股票,0.7627,0.7627,0.7643,0.7643,-0.0016,-0.21%,0.7620,0.09%
