code,scale
588000,671.92
510300,670.98
510050,576.21
510500,499.19
159915,390.03
513050,345.76
512880,321.48
513330,289.87
159995,249.82
512000,243.23
510330,238.98
588080,236.83
159919,211.19
512480,194.83
510310,194.07
510180,193.6
512170,190.7
513180,185.95
512010,185.87
159949,175.15
159941,170.26
515790,167.47
512760,161.53
159920,159.88
510880,143.51
512690,126.68
515030,116.5
513130,112.17
159845,110.34
512660,109.42
159928,107.59
518880,104.07
511360,101.9
512100,98.99
510900,91.78
515050,80.87
159869,80.38
513060,79.55
159992,77.31
512900,74.97
560050,72.0
515330,71.14
159792,70.65
516970,69.09
510810,68.62
159901,66.94
159781,66.12
512800,65.23
159922,64.18
588050,63.68
588200,63.12
513100,62.11
159736,62.11
513500,61.88
515700,61.28
159937,60.91
159605,60.64
159977,60.32
512710,58.79
512950,58.16
159755,57.06
515290,55.73
159632,54.06
512960,54.01
159633,53.17
511030,52.81
512070,52.7
512290,51.63
512500,50.96
159650,50.53
512980,50.19
563000,50.12
159649,49.81
159629,47.97
513660,46.78
159938,46.26
513010,45.57
512680,44.3
560010,43.84
159841,42.46
159783,42.46
515900,41.63
159813,40.53
512200,40.34
516160,40.2
512400,38.99
159819,38.84
515220,38.64
159934,37.69
159601,37.2
159967,36.53
159611,36.52
515380,36.24
515000,36.12
588090,35.41
515170,35.17
159865,34.86
159952,34.57
159623,34.55
510230,34.39
511520,33.97
159780,33.9
159972,33.44
159948,32.66
515120,32.17
510510,31.65
512670,31.15
159790,30.7
159959,29.96
159996,29.88
515600,28.02
159682,27.84
513980,26.87
515180,26.57
510350,25.41
159857,24.86
513120,24.84
159801,24.58
159905,24.38
159939,24.34
159820,24.11
515080,24.1
513550,23.97
511380,23.65
516150,23.28
159766,22.99
159636,22.98
159883,22.77
159998,22.75
159997,22.61
159870,22.08
510580,21.83
159603,21.54
517300,21.31
159740,20.98
159825,20.96
515680,20.61
515650,20.58
588180,20.46
560700,20.19
561960,20.16
560070,20.16
515800,20.03
560170,20.02
513300,19.96
561580,19.92
159607,19.71
510360,19.49
562990,19.45
588380,19.37
515880,19.35
159638,18.97
513380,18.78
159994,18.39
588400,18.36
159828,18.22
159859,18.16
159940,18.14
560080,17.91
512700,17.72
588350,17.7
159806,17.28
561170,17.15
588300,16.95
517160,16.81
510100,16.55
159925,16.38
159602,16.15
159837,16.01
562380,15.94
517330,15.85
512720,15.78
513090,15.32
515210,15.24
159816,15.06
512580,15.0
515070,14.89
159639,14.84
159993,14.82
159679,14.58
510150,14.44
159840,14.37
159908,14.26
560800,14.13
513580,14.06
159637,13.94
511220,13.92
159676,13.9
159929,13.81
159516,13.45
515660,13.38
562310,13.12
159867,13.09
561190,12.88
588060,12.74
516510,12.47
563050,12.34
516820,12.01
159892,11.97
516950,11.85
588290,11.71
510380,11.53
561300,11.25
518800,11.01
159875,10.94
510210,10.9
515400,10.84
516880,10.82
588330,10.77
515230,10.73
562800,10.66
159647,10.66
159742,10.23
159671,10.23
159852,9.93
516110,9.78
588100,9.7
560950,9.62
511020,9.6
513200,9.51
560880,9.43
159796,9.15
516670,9.06
515010,8.83
560090,8.65
516640,8.58
515710,8.54
562000,8.49
516780,8.47
561160,8.31
515150,8.28
560550,8.23
159745,8.16
159651,8.07
159968,8.06
159677,8.06
515160,8.02
515950,7.94
513770,7.9
159782,7.83
560500,7.82
159628,7.8
562510,7.63
515750,7.63
513700,7.6
515060,7.41
516090,7.35
159902,7.2
511270,7.12
512560,6.97
159974,6.91
562860,6.63
513970,6.47
561350,6.45
588460,6.4
561910,6.4
561550,6.38
517050,6.37
561990,6.25
511060,6.21
159512,6.2
513260,6.15
159842,6.13
513600,6.11
515020,6.08
510390,6.06
516010,6.03
510590,5.92
588360,5.81
159961,5.8
510710,5.79
516020,5.78
159665,5.78
159610,5.75
513110,5.7
510800,5.7
159507,5.68
513690,5.55
562500,5.54
159807,5.51
515250,5.46
512330,5.45
159907,5.43
159606,5.41
512510,5.4
159625,5.38
159757,5.32
560110,5.31
159747,5.3
159850,5.29
159814,5.25
159839,5.24
515980,5.22
517080,5.2
515260,5.2
560180,5.18
159966,5.14
159985,5.06
159973,5.04
511010,5.01
516050,5.0
159847,4.97
517000,4.89
159864,4.88
159678,4.83
560030,4.82
511260,4.8
512650,4.76
159741,4.74
159688,4.72
512810,4.71
159957,4.71
159885,4.69
159866,4.68
513360,4.65
516390,4.62
159641,4.62
516660,4.6
159509,4.54
512090,4.52
560060,4.5
159964,4.46
512600,4.44
513520,4.36
516070,4.31
159652,4.31
513030,4.29
515580,4.28
159981,4.28
516920,4.27
159681,4.24
513650,4.21
512160,4.2
563030,4.18
159982,4.16
513860,4.14
512820,4.11
512220,4.08
159667,4.07
159861,4.03
515560,3.98
159513,3.98
159692,3.97
159960,3.94
159640,3.89
516200,3.84
159856,3.82
159689,3.82
159672,3.8
517100,3.73
512990,3.73
510410,3.71
512890,3.67
159916,3.5
512040,3.49
159910,3.49
517120,3.46
588390,3.41
562880,3.41
159824,3.4
515890,3.31
159768,3.21
512910,3.18
516120,3.17
159887,3.15
560860,3.13
515110,3.12
159503,3.12
159619,3.11
512120,3.1
159506,3.05
512930,3.04
159658,3.04
515100,3.03
588260,3.02
510630,3.02
159863,3.02
516350,3.01
159680,3.01
513000,2.99
159622,2.99
515910,2.97
159673,2.97
562930,2.96
513020,2.96
159686,2.96
159909,2.95
159657,2.95
511090,2.92
159980,2.91
515960,2.86
516270,2.83
159752,2.82
159685,2.81
560330,2.8
159713,2.8
159761,2.79
560580,2.78
516080,2.78
159508,2.78
159690,2.75
513390,2.74
510760,2.73
512770,2.68
