date,open,close,high,low,volume,turnover,increase,increase_rate,increase_amount,exchange_rate,code
2018-04-26,18.31,21.97,21.97,18.31,375,819454.0,23.98,43.97,6.71,0.07,603348
2018-04-27,24.17,24.17,24.17,24.17,278,670887.0,0.0,10.01,2.2,0.05,603348
2018-05-02,26.59,26.59,26.59,26.59,680,1808918.0,0.0,10.01,2.42,0.12,603348
2018-05-03,29.25,29.25,29.25,29.25,1374,4017546.0,0.0,10.0,2.66,0.25,603348
2018-05-04,32.18,32.18,32.18,32.18,3759,12095658.0,0.0,10.02,2.93,0.68,603348
2018-05-07,35.4,35.4,35.4,35.4,14737,52169546.0,0.0,10.01,3.22,2.68,603348
2018-05-08,38.94,38.94,38.94,38.94,68260,265802532.0,0.0,10.0,3.54,12.41,603348
2018-05-09,40.0,41.77,42.82,39.72,372796,1539512912.0,7.96,7.27,2.83,67.78,603348
2018-05-10,39.68,43.12,43.25,39.07,310043,1258786688.0,10.01,3.23,1.35,56.37,603348
2018-05-11,41.8,41.88,45.2,41.52,323445,1403282944.0,8.53,-2.88,-1.24,58.81,603348
2018-05-14,41.5,43.24,44.0,40.5,284340,1210801792.0,8.36,3.25,1.36,51.7,603348
2018-05-15,46.85,47.56,47.56,45.1,172287,806144128.0,5.69,9.99,4.32,31.32,603348
2018-05-16,46.0,45.36,47.56,42.8,352413,1601203776.0,10.01,-4.63,-2.2,64.08,603348
2018-05-17,44.15,47.86,49.9,43.5,356799,1692547840.0,14.11,5.51,2.5,64.87,603348
2018-05-18,46.81,47.17,47.56,45.5,232245,1083088720.0,4.3,-1.44,-0.69,42.23,603348
2018-05-21,48.0,48.33,49.6,47.0,256197,1241746272.0,5.51,2.46,1.16,46.58,603348
2018-05-22,47.07,49.19,49.8,46.6,241120,1168290880.0,6.62,1.78,0.86,43.84,603348
2018-05-23,51.0,47.32,53.97,46.84,298637,1513164432.0,14.49,-3.8,-1.87,54.3,603348
2018-05-24,46.36,44.95,46.38,43.23,198641,896147568.0,6.66,-5.01,-2.37,36.12,603348
2018-05-25,45.3,45.4,46.94,45.0,175929,806183600.0,4.32,1.0,0.45,31.99,603348
2018-05-28,44.22,41.2,44.22,40.91,154303,655941568.0,7.29,-9.25,-4.2,28.06,603348
2018-05-29,41.9,45.32,45.32,41.5,218339,956300704.0,9.27,10.0,4.12,39.7,603348
2018-05-30,43.32,45.94,49.8,43.23,297973,1390935520.0,14.5,1.37,0.62,54.18,603348
2018-05-31,44.9,50.53,50.53,44.9,300235,1460793968.0,12.26,9.99,4.59,54.59,603348
2018-06-01,50.46,49.13,51.49,46.55,259556,1268995552.0,9.78,-2.77,-1.4,47.19,603348
2018-06-04,49.0,47.18,50.8,46.0,176165,842223488.0,9.77,-3.97,-1.95,32.03,603348
2018-06-05,47.8,51.9,51.9,46.33,224586,1120932096.0,11.81,10.0,4.72,40.83,603348
2018-06-06,54.0,49.46,56.0,49.23,341353,1793973488.0,13.04,-4.7,-2.44,62.06,603348
2018-06-07,49.0,50.49,51.5,48.69,228562,1148630192.0,5.68,2.08,1.03,41.56,603348
2018-06-08,48.1,48.3,48.66,46.06,197814,943512448.0,5.15,-4.34,-2.19,35.97,603348
2018-06-11,47.08,45.36,47.49,44.66,159806,735541600.0,5.86,-6.09,-2.94,29.06,603348
2018-06-12,45.85,43.8,46.2,42.05,140392,616249760.0,9.15,-3.44,-1.56,25.53,603348
2018-06-13,43.0,43.11,44.84,41.97,133779,579124144.0,6.55,-1.58,-0.69,24.32,603348
2018-06-14,42.29,42.51,43.97,42.0,100332,431066048.0,4.57,-1.39,-0.6,18.24,603348
2018-06-15,43.0,39.92,43.34,39.7,116305,478529680.0,8.56,-6.09,-2.59,21.15,603348
2018-06-19,37.5,35.93,37.96,35.93,80838,296326816.0,5.09,-9.99,-3.99,14.7,603348
2018-06-20,34.0,35.67,36.94,34.0,118401,418749056.0,8.18,-0.72,-0.26,21.53,603348
2018-06-21,35.51,33.12,35.98,32.11,131179,443237472.0,10.85,-7.15,-2.55,23.85,603348
2018-06-22,32.5,33.73,34.15,32.16,99695,334181632.0,6.01,1.84,0.61,18.13,603348
2018-06-25,34.3,34.54,34.88,33.77,107930,370215712.0,3.29,2.4,0.81,19.62,603348
2018-06-26,33.51,35.78,36.36,32.89,124735,439034064.0,10.05,3.59,1.24,22.68,603348
2018-06-27,35.4,35.8,36.5,35.35,115098,413334896.0,3.21,0.06,0.02,20.93,603348
2018-06-28,35.46,35.21,36.19,34.35,105933,375912832.0,5.14,-1.65,-0.59,19.26,603348
2018-06-29,34.96,36.92,37.87,34.51,144208,526515952.0,9.54,4.86,1.71,26.22,603348
2018-07-02,38.12,37.3,39.5,36.8,168554,644301968.0,7.31,1.03,0.38,30.65,603348
2018-07-03,36.74,37.65,37.79,36.03,116494,430769504.0,4.72,0.94,0.35,21.18,603348
2018-07-04,37.18,33.89,37.19,33.89,124473,440137168.0,8.76,-9.99,-3.76,22.63,603348
2018-07-05,33.32,33.0,35.25,32.96,89246,304546128.0,6.76,-2.63,-0.89,16.23,603348
2018-07-06,33.5,34.48,35.9,33.06,110858,380523728.0,8.61,4.48,1.48,20.16,603348
2018-07-09,34.97,35.84,35.9,34.47,112447,395323072.0,4.15,3.94,1.36,20.44,603348
2018-07-10,37.17,39.42,39.42,36.36,86667,332857680.0,8.54,9.99,3.58,15.76,603348
2018-07-11,43.36,43.36,43.36,43.36,18418,79860968.0,0.0,9.99,3.94,3.35,603348
2018-07-12,47.7,43.99,47.7,41.8,309275,1375364880.0,13.61,1.45,0.63,56.23,603348
2018-07-13,43.0,47.7,48.39,42.61,368636,1705395744.0,13.14,8.43,3.71,67.02,603348
2018-07-16,45.82,42.93,45.95,42.93,143134,625963040.0,6.33,-10.0,-4.77,26.02,603348
2018-07-17,40.25,40.79,40.93,38.89,204370,820970032.0,4.75,-4.98,-2.14,37.16,603348
2018-07-18,40.2,39.03,40.38,38.86,130673,516615600.0,3.73,-4.31,-1.76,23.76,603348
2018-07-19,38.8,40.22,40.29,38.11,134477,529412144.0,5.59,3.05,1.19,24.45,603348
2018-07-20,39.39,39.53,40.3,39.13,96219,381471072.0,2.91,-1.72,-0.69,17.49,603348
2018-07-23,39.77,39.71,40.48,38.84,82554,326962576.0,4.15,0.46,0.18,15.01,603348
2018-07-24,39.1,40.04,40.37,39.03,102896,410043904.0,3.37,0.83,0.33,18.71,603348
2018-07-25,40.22,38.5,40.28,38.05,99427,390921856.0,5.57,-3.85,-1.54,18.08,603348
2018-07-26,38.44,35.46,38.44,35.17,130766,474015200.0,8.49,-7.9,-3.04,23.78,603348
2018-07-27,34.91,36.3,37.31,34.91,98919,359803552.0,6.77,2.37,0.84,17.99,603348
2018-07-30,36.08,37.37,37.59,34.8,105451,388252496.0,7.69,2.95,1.07,19.17,603348
2018-07-31,36.88,36.23,38.25,35.5,82409,303265392.0,7.36,-3.05,-1.14,14.98,603348
2018-08-01,36.51,34.91,36.77,34.85,62028,221020053.0,5.3,-3.64,-1.32,11.28,603348
2018-08-02,36.0,35.92,37.8,35.1,121612,441216832.0,7.73,2.89,1.01,22.11,603348
2018-08-03,36.3,37.13,38.39,35.16,153420,567502784.0,8.99,3.37,1.21,27.89,603348
2018-08-06,36.0,33.42,36.0,33.42,112277,383680368.0,6.95,-9.99,-3.71,20.41,603348
2018-08-07,33.2,33.82,34.06,30.95,97718,321340512.0,9.31,1.2,0.4,17.77,603348
2018-08-08,34.0,33.05,34.9,32.37,99258,337144848.0,7.48,-2.28,-0.77,18.05,603348
2018-08-09,31.72,33.33,33.72,31.1,75772,249985552.0,7.93,0.85,0.28,13.78,603348
2018-08-10,33.32,33.56,33.98,32.23,78620,260928686.0,5.25,0.69,0.23,14.29,603348
2018-08-13,32.9,34.1,34.29,32.5,71990,242203321.0,5.33,1.61,0.54,13.09,603348
2018-08-14,36.15,35.2,37.51,35.17,145067,527283152.0,6.86,3.23,1.1,26.38,603348
2018-08-15,35.0,33.48,35.0,33.33,88499,301371440.0,4.74,-4.89,-1.72,16.09,603348
2018-08-16,31.17,31.71,32.6,31.16,77317,246655490.0,4.3,-5.29,-1.77,14.06,603348
2018-08-17,32.0,30.71,32.48,30.63,51506,162841488.0,5.83,-3.15,-1.0,9.36,603348
2018-08-20,30.1,30.15,30.73,28.81,59687,178127699.0,6.25,-1.82,-0.56,10.85,603348
2018-08-21,29.88,30.14,30.47,29.4,58049,174150114.0,3.55,-0.03,-0.01,10.55,603348
2018-08-22,29.99,28.81,30.44,28.61,55643,164457873.0,6.07,-4.41,-1.33,10.12,603348
2018-08-23,29.08,29.3,29.49,28.68,48467,141503645.0,2.81,1.7,0.49,8.81,603348
2018-08-24,30.5,29.25,30.5,28.98,56354,166912565.0,5.19,-0.17,-0.05,10.25,603348
2018-08-27,28.51,29.7,29.95,28.51,48746,143465024.0,4.92,1.54,0.45,8.86,603348
2018-08-28,30.04,29.65,30.07,29.32,39656,117276606.0,2.53,-0.17,-0.05,7.21,603348
2018-08-29,29.66,29.16,29.82,28.9,33745,98930161.0,3.1,-1.65,-0.49,6.14,603348
2018-08-30,29.25,29.11,29.77,29.01,43848,128726003.0,2.61,-0.17,-0.05,7.97,603348
2018-08-31,28.9,27.53,28.92,27.5,56218,157543777.0,4.88,-5.43,-1.58,10.22,603348
2018-09-03,27.53,26.78,27.58,26.09,42552,113380907.0,5.41,-2.72,-0.75,7.74,603348
2018-09-04,26.59,27.31,28.16,26.45,46857,128541566.0,6.39,1.98,0.53,8.52,603348
2018-09-05,27.31,27.06,28.12,27.01,47285,130204921.0,4.06,-0.92,-0.25,8.6,603348
2018-09-06,26.89,27.55,27.96,26.81,49490,136189289.0,4.25,1.81,0.49,9.0,603348
2018-09-07,27.7,27.15,27.87,26.48,53828,146810576.0,5.05,-1.45,-0.4,9.79,603348
2018-09-10,27.08,26.88,27.42,26.58,38822,104646234.0,3.09,-0.99,-0.27,7.06,603348
2018-09-11,27.25,27.5,27.5,26.9,47265,128793942.0,2.23,2.31,0.62,8.59,603348
2018-09-12,27.49,28.09,28.09,27.01,64906,179407701.0,3.93,2.15,0.59,11.8,603348
2018-09-13,28.39,27.8,28.39,27.48,52629,146531764.0,3.24,-1.03,-0.29,9.57,603348
2018-09-14,30.58,28.0,30.58,27.71,125137,368229088.0,10.32,0.72,0.2,22.75,603348
2018-09-17,25.4,25.2,26.0,25.2,84749,216588781.0,2.86,-10.0,-2.8,15.41,603348
2018-09-18,24.8,25.3,25.45,24.55,49867,124803748.0,3.57,0.4,0.1,9.07,603348
2018-09-19,24.93,25.27,25.62,24.85,46840,118199840.0,3.04,-0.12,-0.03,8.52,603348
2018-09-20,25.37,25.13,25.52,25.06,35363,89137474.0,1.82,-0.55,-0.14,6.43,603348
2018-09-21,25.26,25.22,25.4,24.65,38471,96506657.0,2.98,0.36,0.09,6.99,603348
2018-09-25,25.11,25.26,25.55,25.09,31787,80422437.0,1.82,0.16,0.04,5.78,603348
2018-09-26,25.38,25.09,25.4,24.85,33192,83396172.0,2.18,-0.67,-0.17,6.03,603348
2018-09-27,25.06,23.24,25.09,23.08,58168,140248376.0,8.01,-7.37,-1.85,10.58,603348
2018-09-28,23.25,24.1,24.36,23.24,49468,118935015.0,4.82,3.7,0.86,8.99,603348
2018-10-08,23.65,23.5,24.35,23.2,41308,98094307.0,4.77,-2.49,-0.6,7.51,603348
2018-10-09,23.61,24.26,24.4,23.61,46283,111497808.0,3.36,3.23,0.76,8.42,603348
2018-10-10,24.94,25.24,26.5,24.81,88860,225896058.0,6.97,4.04,0.98,16.16,603348
2018-10-11,23.8,22.72,24.3,22.72,62435,145836809.0,6.26,-9.98,-2.52,11.35,603348
2018-10-12,22.33,21.9,22.62,20.8,52901,115696441.0,8.01,-3.61,-0.82,9.62,603348
2018-10-15,22.3,21.96,23.11,21.9,49788,112153730.0,5.53,0.27,0.06,9.05,603348
