date,open,close,high,low,volume,code,increase_rate
2023-07-25,1.069,1.072,1.069,1.065,30717268.0,159501,0.996268656716418
2023-07-25,1.002,0.999,1.052,1.002,65559342.068,159503,1.048048048048048
2023-07-25,1.032,1.012,1.036,1.016,70853685.906,159506,1.0158102766798418
2023-07-25,0.971,0.967,0.982,0.966,7685704.26,159507,1.0062047569803516
2023-07-25,1.008,1.007,1.018,1.007,11529750.287,159508,1.008937437934459
2023-07-25,0.781,0.773,0.797,0.78,104115380.569,159601,1.0310478654592496
2023-07-25,0.779,0.77,0.793,0.779,24903207.109,159602,1.0298701298701298
2023-07-25,0.853,0.846,0.858,0.851,2330604.9,159603,1.0141843971631206
2023-07-25,0.802,0.772,0.816,0.801,1865505428.782,159605,1.055699481865285
2023-07-25,0.806,0.802,0.814,0.806,11354681.199,159606,1.013715710723192
2023-07-25,0.8,0.77,0.815,0.8,792163226.298,159607,1.0584415584415583
2023-07-25,0.665,0.656,0.671,0.659,13980896.6,159608,1.021341463414634
2023-07-25,0.671,0.668,0.683,0.671,12470779.5,159609,1.0179640718562875
2023-07-25,0.828,0.817,0.83,0.824,14652610.532,159610,1.01468788249694
2023-07-25,0.929,0.926,0.931,0.912,198211854.6,159611,0.9913606911447084
2023-07-25,1.223,1.221,1.231,1.217,18510989.3,159612,0.9983619983619983
2023-07-25,0.899,0.889,0.905,0.892,6805503.5,159613,1.0134983127109112
2023-07-25,0.854,0.843,0.86,0.845,43763074.64,159615,1.0166073546856464
2023-07-25,0.788,0.792,0.801,0.788,5132333.7,159616,1.0025252525252526
2023-07-25,1.086,1.077,1.09,1.084,2745925.833,159617,1.0120705663881153
2023-07-25,0.93,0.923,0.941,0.93,3827641.4,159618,1.0162513542795233
2023-07-25,1.008,1.005,1.032,1.008,43002517.484,159619,1.0258706467661691
2023-07-25,0.918,0.916,0.928,0.918,4091736.1,159620,1.012008733624454
2023-07-25,0.96,0.945,0.968,0.96,3564439.312,159621,1.0243386243386243
2023-07-25,0.921,0.908,0.927,0.91,38017203.46,159622,1.0110132158590308
2023-07-25,0.869,0.861,0.891,0.869,24667319.46,159623,1.0313588850174216
2023-07-25,1.081,1.08,1.086,1.073,25504734.608,159625,0.9981481481481481
2023-07-25,1.03,1.01,1.04,1.03,3287982.4,159627,1.0287128712871287
2023-07-25,1.021,1.006,1.022,1.008,75160719.1,159628,1.0139165009940359
2023-07-25,2.586,2.569,2.614,2.585,961131223.305,159629,1.0155702608018684
2023-07-25,1.051,1.051,1.081,1.051,4874761.9,159630,1.027592768791627
2023-07-25,0.931,0.922,0.952,0.931,15610261.498,159631,1.027114967462039
2023-07-25,1.283,1.287,1.285,1.279,321104564.64,159632,0.9976689976689977
