code,name,date,close,scale,type,slope_standard
159601,华夏MSCI中国A50互联互通ETF行情,2023-06-28,0.768,37.2,指数型-股票,0.02231566453880744
159601,华夏MSCI中国A50互联互通ETF行情,2023-06-29,0.763,37.2,指数型-股票,0.00935596585710614
159601,华夏MSCI中国A50互联互通ETF行情,2023-06-30,0.765,37.2,指数型-股票,0.00621035719897915
159601,华夏MSCI中国A50互联互通ETF行情,2023-07-03,0.776,37.2,指数型-股票,0.007482552237597059
159601,华夏MSCI中国A50互联互通ETF行情,2023-07-04,0.777,37.2,指数型-股票,0.0033392907560914923
159601,华夏MSCI中国A50互联互通ETF行情,2023-07-05,0.771,37.2,指数型-股票,-0.009372031388091886
159601,华夏MSCI中国A50互联互通ETF行情,2023-07-06,0.765,37.2,指数型-股票,-0.024114212906258353
159601,华夏MSCI中国A50互联互通ETF行情,2023-07-07,0.761,37.2,指数型-股票,-0.03856611265909313
159601,华夏MSCI中国A50互联互通ETF行情,2023-07-10,0.768,37.2,指数型-股票,-0.047367936506132025
159601,华夏MSCI中国A50互联互通ETF行情,2023-07-11,0.774,37.2,指数型-股票,-0.04934799157326317
159601,华夏MSCI中国A50互联互通ETF行情,2023-07-12,0.773,37.2,指数型-股票,-0.05199464114848052
159601,华夏MSCI中国A50互联互通ETF行情,2023-07-13,0.788,37.2,指数型-股票,-0.03270732804207548
159601,华夏MSCI中国A50互联互通ETF行情,2023-07-14,0.786,37.2,指数型-股票,-0.009077895672318046
159601,华夏MSCI中国A50互联互通ETF行情,2023-07-17,0.781,37.2,指数型-股票,0.003306753593735194
159601,华夏MSCI中国A50互联互通ETF行情,2023-07-18,0.779,37.2,指数型-股票,0.01330584750201316
159601,华夏MSCI中国A50互联互通ETF行情,2023-07-19,0.779,37.2,指数型-股票,0.016851696595209263
159601,华夏MSCI中国A50互联互通ETF行情,2023-07-20,0.777,37.2,指数型-股票,0.0118385955885489
159601,华夏MSCI中国A50互联互通ETF行情,2023-07-21,0.778,37.2,指数型-股票,0.010270091603865312
159601,华夏MSCI中国A50互联互通ETF行情,2023-07-24,0.773,37.2,指数型-股票,0.005000506320097664
159601,华夏MSCI中国A50互联互通ETF行情,2023-07-25,0.796,37.2,指数型-股票,0.011774067245748825
159602,南方MSCI中国A50互联互通ETF行情,2023-06-28,0.766,15.31,指数型-股票,0.02241990501114289
159602,南方MSCI中国A50互联互通ETF行情,2023-06-29,0.76,15.31,指数型-股票,0.008307957327115265
159602,南方MSCI中国A50互联互通ETF行情,2023-06-30,0.764,15.31,指数型-股票,0.006978136591340806
159602,南方MSCI中国A50互联互通ETF行情,2023-07-03,0.775,15.31,指数型-股票,0.008496991069432934
159602,南方MSCI中国A50互联互通ETF行情,2023-07-04,0.777,15.31,指数型-股票,0.005923567619568106
159602,南方MSCI中国A50互联互通ETF行情,2023-07-05,0.77,15.31,指数型-股票,-0.006086418579747271
159602,南方MSCI中国A50互联互通ETF行情,2023-07-06,0.762,15.31,指数型-股票,-0.021618943897995187
